date,home,away,edge,odds,bet,profit,bankroll
2024-08-16,Man United,Fulham,0.09226668882987255,1.6,1.0,0.6000000000000001,1000.6
2024-08-18,Brentford,Crystal Palace,0.15303993700721302,2.4,1.0,1.4,1002.0
2024-08-24,Brighton,Man United,0.07158409251063352,2.5,1.0,1.5,1003.5
2024-08-24,Fulham,Leicester,0.06603283717572883,1.8,1.0,0.8,1004.3
2024-08-25,Bournemouth,Newcastle,0.06995994404732941,2.9,1.0,-1.0,1003.3
2024-08-31,West Ham,Man City,0.1634583347265921,7.0,1.0,-1.0,1002.3
2024-08-31,Leicester,Aston Villa,0.1302138770408082,4.5,1.0,-1.0,1001.3
2024-08-31,Everton,Bournemouth,0.1143844893912836,2.75,1.0,-1.0,1000.3
2024-09-01,Newcastle,Tottenham,0.12682006294805698,2.5,1.0,1.5,1001.8
2024-09-01,Man United,Liverpool,0.20260211245352,3.7,1.0,-1.0,1000.8
2024-09-14,Aston Villa,Everton,0.10775557780864475,1.5,1.0,0.5,1001.3
2024-09-14,Southampton,Man United,0.20411450094953273,4.5,1.0,-1.0,1000.3
2024-09-21,West Ham,Chelsea,0.16445473371431163,3.6,1.0,-1.0,999.3
2024-09-21,Aston Villa,Wolves,0.1878309152461749,1.57,1.0,0.5700000000000001,999.87
2024-09-21,Fulham,Newcastle,0.17965400738424248,3.0,1.0,2.0,1001.87
2024-09-21,Crystal Palace,Man United,0.1312694617116465,2.88,1.0,-1.0,1000.87
2024-09-28,Everton,Crystal Palace,0.1426320871399463,2.7,1.0,1.7000000000000002,1002.57
2024-09-28,Chelsea,Brighton,0.1836826668295657,1.73,1.0,0.73,1003.3000000000001
2024-09-28,Newcastle,Man City,0.21911366482755318,5.25,1.0,-1.0,1002.3000000000001
2024-09-29,Ipswich,Aston Villa,0.1607452223122498,4.0,1.0,-1.0,1001.3000000000001
2024-10-05,West Ham,Ipswich,0.058268641906693674,1.8,1.0,0.8,1002.1
2024-10-05,Leicester,Bournemouth,0.1692425948042215,3.1,1.0,2.1,1004.2
2024-10-06,Brighton,Tottenham,0.15159803334846872,2.9,1.0,1.9,1006.1
2024-10-19,Bournemouth,Arsenal,0.08484705346727758,5.0,1.0,4.0,1010.1
2024-10-19,Man United,Brentford,0.058120082720616306,1.7,1.0,0.7,1010.8000000000001
2024-10-26,Everton,Fulham,0.06455146759352609,2.75,1.0,-1.0,1009.8000000000001
2024-10-27,Crystal Palace,Tottenham,0.10634486079335342,3.9,1.0,2.9,1012.7
2024-10-27,West Ham,Man United,0.1312694617116465,2.88,1.0,1.88,1014.58
2024-11-02,Bournemouth,Man City,0.2046671730792364,5.5,1.0,4.5,1019.08
2024-11-02,Southampton,Everton,0.15350086708304905,2.63,1.0,1.63,1020.71
2024-11-02,Wolves,Crystal Palace,0.06548664929368636,2.5,1.0,-1.0,1019.71
2024-11-02,Newcastle,Arsenal,0.17498151142611518,3.75,1.0,2.75,1022.46
2024-11-03,Tottenham,Aston Villa,0.11089516707311803,1.91,1.0,0.9099999999999999,1023.37
2024-11-03,Man United,Chelsea,0.07272717356139957,2.6,1.0,-1.0,1022.37
2024-11-09,Brentford,Bournemouth,0.06798569160217399,2.5,1.0,1.5,1023.87
2024-11-09,Brighton,Man City,0.2259987683636951,4.1,1.0,3.0999999999999996,1026.97
2024-11-23,Everton,Brentford,0.07214478219841614,2.45,1.0,-1.0,1025.97
2024-11-24,Ipswich,Man United,0.1178429708320769,5.25,1.0,-1.0,1024.97
2024-12-03,Leicester,West Ham,0.173321438326485,2.9,1.0,1.9,1026.8700000000001
2024-12-04,Everton,Wolves,0.06312391672145679,2.1,1.0,1.1,1027.97
2024-12-04,Newcastle,Liverpool,0.058095965041946085,4.2,1.0,-1.0,1026.97
2024-12-05,Fulham,Brighton,0.05789173790445623,2.35,1.0,1.35,1028.32
2024-12-05,Bournemouth,Tottenham,0.187171140166288,2.63,1.0,1.63,1029.95
2024-12-07,Crystal Palace,Man City,0.2046671730792364,5.5,1.0,-1.0,1028.95
2024-12-07,Brentford,Newcastle,0.07813651523015108,2.88,1.0,1.88,1030.8300000000002
2024-12-07,Aston Villa,Southampton,0.1125261718036783,1.36,1.0,0.3600000000000001,1031.19
2024-12-21,Aston Villa,Man City,0.14210594408385652,3.25,1.0,2.25,1033.44
2024-12-21,Ipswich,Newcastle,0.06125173202059053,4.75,1.0,-1.0,1032.44
2024-12-21,Crystal Palace,Arsenal,0.05339979421773419,6.25,1.0,-1.0,1031.44
2024-12-22,Fulham,Southampton,0.10832680232627889,1.42,1.0,-1.0,1030.44
2024-12-22,Man United,Bournemouth,0.05589155215865349,1.8,1.0,-1.0,1029.44
2024-12-26,Newcastle,Aston Villa,0.06541640100729162,1.91,1.0,0.9099999999999999,1030.3500000000001
2024-12-30,Ipswich,Chelsea,0.09705995774630588,6.5,1.0,5.5,1035.8500000000001
2025-01-04,Brighton,Arsenal,0.07300606724700309,4.33,1.0,-1.0,1034.8500000000001
2025-01-04,Southampton,Brentford,0.08797185723249212,3.0,1.0,-1.0,1033.8500000000001
2025-01-04,Crystal Palace,Chelsea,0.10298693886175689,3.8,1.0,-1.0,1032.8500000000001
2025-01-05,Fulham,Ipswich,0.07876116782052867,1.55,1.0,-1.0,1031.8500000000001
2025-01-14,Nott'm Forest,Liverpool,0.1359749571019352,5.25,1.0,-1.0,1030.8500000000001
2025-01-14,West Ham,Fulham,0.08532103713293876,3.0,1.0,2.0,1032.8500000000001
2025-01-14,Brentford,Man City,0.1481438862128045,4.75,1.0,-1.0,1031.8500000000001
2025-01-15,Arsenal,Tottenham,0.14781802161115865,1.4,1.0,0.3999999999999999,1032.2500000000002
2025-01-18,Leicester,Fulham,0.05062906600954531,4.33,1.0,-1.0,1031.2500000000002
2025-01-20,Chelsea,Wolves,0.058287825341609034,1.36,1.0,0.3600000000000001,1031.6100000000001
2025-01-25,Bournemouth,Nott'm Forest,0.11797536526993796,2.05,1.0,1.0499999999999998,1032.66
2025-01-25,Man City,Chelsea,0.09870514093856197,2.05,1.0,1.0499999999999998,1033.71
2025-02-01,Wolves,Aston Villa,0.09571706439455852,3.3,1.0,2.3,1036.01
2025-02-12,Everton,Liverpool,0.10328159455770639,7.5,1.0,-1.0,1035.01
2025-02-14,Brighton,Chelsea,0.07249187559247289,2.7,1.0,1.7000000000000002,1036.71
2025-02-15,Man City,Newcastle,0.11114596614351807,1.95,1.0,0.95,1037.66
2025-02-15,Aston Villa,Ipswich,0.11573754729164898,1.4,1.0,-1.0,1036.66
