date,home,away,edge,odds,bet,profit,bankroll
2024-08-16,Man United,Fulham,0.09226668882987255,1.6,161.29874083446236,96.77924450067744,1096.7792445006774
2024-08-18,Brentford,Crystal Palace,0.15303993700721302,2.4,219.35584890013547,307.09818846018965,1403.877432960867
2024-08-24,Brighton,Man United,0.07158409251063352,2.5,122.50171601455881,183.7525740218382,1587.6300069827053
2024-08-24,Fulham,Leicester,0.06603283717572883,1.8,122.98750363644598,98.39000290915679,1686.020009891862
2024-08-25,Bournemouth,Newcastle,0.06995994404732941,2.9,127.81176931601782,-127.81176931601782,1558.2082405758442
2024-08-31,West Ham,Man City,0.1634583347265921,7.0,284.9476782177163,-284.9476782177163,1273.260562358128
2024-08-31,Leicester,Aston Villa,0.1302138770408082,4.5,192.42665404741922,-192.42665404741922,1080.833908310709
2024-08-31,Everton,Bournemouth,0.1143844893912836,2.75,164.91619806281633,-164.91619806281633,915.9177102478926
2024-09-01,Newcastle,Tottenham,0.12682006294805698,2.5,164.5178167418475,246.77672511277126,1162.6944353606639
2024-09-01,Man United,Liverpool,0.20260211245352,3.7,232.53888707213278,-232.53888707213278,930.1555482885311
2024-09-14,Aston Villa,Everton,0.10775557780864475,1.5,186.03110965770622,93.01555482885311,1023.1711031173843
2024-09-14,Southampton,Man United,0.20411450094953273,4.5,204.63422062347686,-204.63422062347686,818.5368824939075
2024-09-21,West Ham,Chelsea,0.16445473371431163,3.6,163.7073764987815,-163.7073764987815,654.8295059951259
2024-09-21,Aston Villa,Wolves,0.1878309152461749,1.57,130.96590119902518,74.65056368344436,729.4800696785703
2024-09-21,Fulham,Newcastle,0.17965400738424248,3.0,145.89601393571408,291.79202787142816,1021.2720975499985
2024-09-21,Crystal Palace,Man United,0.1312694617116465,2.88,180.15865574289484,-180.15865574289484,841.1134418071038
2024-09-28,Everton,Crystal Palace,0.1426320871399463,2.7,165.35671098803385,281.1064086796576,1122.2198504867613
2024-09-28,Chelsea,Brighton,0.1836826668295657,1.73,224.44397009735226,163.84409817106715,1286.0639486578284
2024-09-28,Newcastle,Man City,0.21911366482755318,5.25,257.2127897315657,-257.2127897315657,1028.8511589262628
2024-09-29,Ipswich,Aston Villa,0.1607452223122498,4.0,201.95293930331485,-201.95293930331485,826.8982196229479
2024-10-05,West Ham,Ipswich,0.058268641906693674,1.8,59.50844971090234,47.60675976872187,874.5049793916697
2024-10-05,Leicester,Bournemouth,0.1692425948042215,3.1,174.90099587833396,367.29209134450133,1241.797070736171
2024-10-06,Brighton,Tottenham,0.15159803334846872,2.9,248.35941414723422,471.882886879745,1713.679957615916
2024-10-19,Bournemouth,Arsenal,0.08484705346727758,5.0,156.56075088705688,626.2430035482275,2339.9229611641435
2024-10-19,Man United,Brentford,0.058120082720616306,1.7,175.49288237478947,122.84501766235262,2462.7679788264963
2024-10-26,Everton,Fulham,0.06455146759352609,2.75,180.8199543146513,-180.8199543146513,2281.9480245118452
2024-10-27,Crystal Palace,Tottenham,0.10634486079335342,3.9,286.84900761367834,831.8621220796672,3113.8101465915124
2024-10-27,West Ham,Man United,0.1312694617116465,2.88,549.2951893959379,1032.6749560643632,4146.485102655875
2024-11-02,Bournemouth,Man City,0.2046671730792364,5.5,829.2970205311751,3731.836592390288,7878.321695046163
2024-11-02,Southampton,Everton,0.15350086708304905,2.63,1575.6643390092327,2568.3328725850492,10446.654567631213
2024-11-02,Wolves,Crystal Palace,0.06548664929368636,2.5,863.7147340892166,-863.7147340892166,9582.939833541996
2024-11-02,Newcastle,Arsenal,0.17498151142611518,3.75,1916.587966708399,5270.616908448097,14853.556741990093
2024-11-03,Tottenham,Aston Villa,0.11089516707311803,1.91,2660.2340157721083,2420.8129543526184,17274.36969634271
2024-11-03,Man United,Chelsea,0.07272717356139957,2.6,1479.196913102103,-1479.196913102103,15795.172783240607
2024-11-09,Brentford,Bournemouth,0.06798569160217399,2.5,1230.5283753314266,1845.7925629971398,17640.965346237746
2024-11-09,Brighton,Man City,0.2259987683636951,4.1,3528.1930692475494,10937.398514667402,28578.36386090515
2024-11-23,Everton,Brentford,0.07214478219841614,2.45,2554.049436720997,-2554.049436720997,26024.31442418415
2024-11-24,Ipswich,Man United,0.1178429708320769,5.25,3454.0052497273778,-3454.0052497273778,22570.309174456772
2024-12-03,Leicester,West Ham,0.173321438326485,2.9,4514.061834891355,8576.717486293574,31147.026660750344
2024-12-04,Everton,Wolves,0.06312391672145679,2.1,2251.3588261316722,2476.4947087448395,33623.52136949518
2024-12-04,Newcastle,Liverpool,0.058095965041946085,4.2,1973.5249993751247,-1973.5249993751247,31649.996370120058
